Sun Oct 20 18:02:29 2024 | DestVec: 2473.879883, -1692.810059
Sun Oct 20 18:02:29 2024 | DIR: -6.593430, -6.676575
Sun Oct 20 18:02:29 2024 | Looking for mission objective blip.
Sun Oct 20 18:02:29 2024 | Found contender.
Sun Oct 20 18:02:29 2024 | 
Sun Oct 20 18:02:29 2024 | Found mission objective blip.
Sun Oct 20 18:02:29 2024 | DestVec: 2473.879883, -1692.810059
Sun Oct 20 18:02:29 2024 | DIR: -6.593414, -6.676514
Sun Oct 20 18:02:29 2024 | Looking for mission objective blip.
Sun Oct 20 18:02:29 2024 | Found contender.
Sun Oct 20 18:02:29 2024 | 
Sun Oct 20 18:02:29 2024 | Found mission objective blip.
Sun Oct 20 18:02:29 2024 | DestVec: 2473.879883, -1692.810059
Sun Oct 20 18:02:29 2024 | DIR: -6.593430, -6.676575
Sun Oct 20 18:02:29 2024 | Looking for mission objective blip.
Sun Oct 20 18:02:29 2024 | Found contender.
Sun Oct 20 18:02:29 2024 | 
Sun Oct 20 18:02:29 2024 | Found mission objective blip.
Sun Oct 20 18:02:29 2024 | DestVec: 2473.879883, -1692.810059
Sun Oct 20 18:02:29 2024 | DIR: -6.593414, -6.676514
Sun Oct 20 18:02:29 2024 | Looking for mission objective blip.
Sun Oct 20 18:02:29 2024 | Found contender.
Sun Oct 20 18:02:29 2024 | 
Sun Oct 20 18:02:29 2024 | Found mission objective blip.
Sun Oct 20 18:02:29 2024 | DestVec: 2473.879883, -1692.810059
Sun Oct 20 18:02:29 2024 | DIR: -6.544983, -6.722717
Sun Oct 20 18:02:29 2024 | Looking for mission objective blip.
Sun Oct 20 18:02:29 2024 | Found contender.
Sun Oct 20 18:02:29 2024 | 
Sun Oct 20 18:02:29 2024 | Found mission objective blip.
Sun Oct 20 18:02:29 2024 | DestVec: 2473.879883, -1692.810059
Sun Oct 20 18:02:29 2024 | DIR: -6.447128, -6.814026
Sun Oct 20 18:02:29 2024 | Looking for mission objective blip.
Sun Oct 20 18:02:29 2024 | Found contender.
Sun Oct 20 18:02:29 2024 | 
Sun Oct 20 18:02:29 2024 | Found mission objective blip.
Sun Oct 20 18:02:29 2024 | DestVec: 2473.879883, -1692.810059
Sun Oct 20 18:02:29 2024 | DIR: -6.297943, -6.948364
Sun Oct 20 18:02:29 2024 | Looking for mission objective blip.
Sun Oct 20 18:02:29 2024 | Found contender.
Sun Oct 20 18:02:29 2024 | 
Sun Oct 20 18:02:29 2024 | Found mission objective blip.
Sun Oct 20 18:02:29 2024 | DestVec: 2473.879883, -1692.810059
Sun Oct 20 18:02:29 2024 | DIR: -6.120300, -7.100952
